Fecha,DolarCCL,DolarMEP
07/04/2023,"408,24","396,60"
06/04/2023,"408,24","396,60"
05/04/2023,"408,24","396,60"
04/04/2023,"409,82","402,41"
03/04/2023,"406,77","396,94"
31/03/2023,"406,54","397,37"
30/03/2023,"402,79","391,82"
29/03/2023,"395,89","386,81"
28/03/2023,"390,63","383,55"
27/03/2023,"392,58","376,40"
24/03/2023,"390,19","375,72"
23/03/2023,"390,19","375,72"
22/03/2023,"397,17","387,10"
21/03/2023,"399,62","385,98"
20/03/2023,"401,36","387,63"
17/03/2023,"403,57","388,84"
16/03/2023,"400,62","388,76"
15/03/2023,"397,07","383,31"
14/03/2023,"391,47","377,76"
13/03/2023,"395,50","379,51"
10/03/2023,"393,68","380,64"
09/03/2023,"387,78","375,43"
08/03/2023,"378,96","372,86"
07/03/2023,"375,69","366,97"
06/03/2023,"372,68","362,42"
03/03/2023,"372,31","366,50"
02/03/2023,"372,57","364,81"
01/03/2023,"368,88","359,78"
28/02/2023,"366,41","357,47"
27/02/2023,"364,93","356,07"
24/02/2023,"367,02","356,78"
23/02/2023,"367,03","357,26"
22/02/2023,"368,46","356,45"
21/02/2023,"369,80","355,59"
20/02/2023,"369,80","355,59"
17/02/2023,"369,80","355,59"
16/02/2023,"370,02","357,61"
15/02/2023,"368,52","356,23"
14/02/2023,"369,82","355,28"
13/02/2023,"370,87","355,27"
10/02/2023,"371,23","354,15"
09/02/2023,"371,60","354,36"
08/02/2023,"366,13","354,95"
07/02/2023,"366,16","353,20"
06/02/2023,"365,71","353,94"
03/02/2023,"362,95","357,36"
02/02/2023,"366,83","354,75"
01/02/2023,"367,07","353,70"
31/01/2023,"367,42","354,81"
30/01/2023,"369,52","353,93"
27/01/2023,"370,39","352,78"
26/01/2023,"369,39","352,22"
25/01/2023,"365,99","351,98"
24/01/2023,"360,03","353,85"
23/01/2023,"363,19","352,21"
20/01/2023,"360,98","352,52"
19/01/2023,"355,41","332,83"
18/01/2023,"351,82","340,30"
17/01/2023,"362,19","341,89"
16/01/2023,"356,38","344,03"
13/01/2023,"349,26","340,23"
12/01/2023,"343,57","342,38"
11/01/2023,"336,96","327,70"
10/01/2023,"331,97","325,87"
09/01/2023,"333,97","327,17"
06/01/2023,"338,92","329,91"
05/01/2023,"342,16","332,67"
04/01/2023,"339,48","334,93"
03/01/2023,"344,44","330,70"
02/01/2023,"344,88","329,21"
30/12/2022,"344,13","327,94"
29/12/2022,"340,50","334,36"
28/12/2022,"346,15","331,63"
27/12/2022,"337,49","335,39"
26/12/2022,"334,85","327,62"
23/12/2022,"333,16","325,71"
22/12/2022,"333,48","324,25"
21/12/2022,"332,95","322,87"
20/12/2022,"331,58","325,01"
19/12/2022,"332,43","320,89"
16/12/2022,"332,31","320,10"
15/12/2022,"332,67","320,10"
14/12/2022,"330,13","322,70"
13/12/2022,"333,68","323,36"
12/12/2022,"332,38","322,35"
09/12/2022,"338,09","328,98"
08/12/2022,"338,09","328,98"
07/12/2022,"338,09","328,98"
06/12/2022,"340,40","328,88"
05/12/2022,"330,47","319,11"
02/12/2022,"327,00","318,67"
01/12/2022,"323,72","318,57"
30/11/2022,"322,75","312,51"
29/11/2022,"322,74","313,45"
28/11/2022,"322,49","314,02"
25/11/2022,"323,02","316,07"
24/11/2022,"322,61","319,30"
23/11/2022,"325,72","311,81"
22/11/2022,"330,95","312,80"
21/11/2022,"332,24","313,58"
18/11/2022,"332,24","313,58"
17/11/2022,"334,79","313,87"
16/11/2022,"324,62","308,98"
15/11/2022,"319,12","302,06"
14/11/2022,"310,45","299,84"
11/11/2022,"309,77","297,71"
10/11/2022,"308,69","296,82"
09/11/2022,"307,98","292,93"
08/11/2022,"301,24","292,37"
07/11/2022,"303,47","289,76"
04/11/2022,"304,55","290,97"
03/11/2022,"304,93","292,92"
02/11/2022,"303,38","291,17"
01/11/2022,"303,67","292,84"
31/10/2022,"307,42","293,92"
28/10/2022,"305,80","295,07"
27/10/2022,"307,48","294,65"
26/10/2022,"305,93","292,28"
25/10/2022,"305,82","293,63"
24/10/2022,"303,96","291,89"
21/10/2022,"303,64","290,63"
20/10/2022,"304,01","290,87"
19/10/2022,"302,97","292,41"
18/10/2022,"304,07","293,33"
17/10/2022,"307,95","295,58"
14/10/2022,"312,89","299,04"
13/10/2022,"313,72","299,42"
12/10/2022,"305,90","293,69"
11/10/2022,"304,00","288,15"
10/10/2022,"307,12","293,25"
07/10/2022,"307,12","293,25"
06/10/2022,"307,12","293,25"
05/10/2022,"309,67","297,50"
04/10/2022,"308,20","299,77"
03/10/2022,"306,98","297,97"
30/09/2022,"308,96","302,48"
29/09/2022,"304,29","295,83"
28/09/2022,"307,62","297,99"
27/09/2022,"305,54","296,78"
26/09/2022,"306,86","298,25"
23/09/2022,"312,23","301,82"
22/09/2022,"312,16","302,19"
21/09/2022,"305,90","297,91"
20/09/2022,"302,89","295,10"
19/09/2022,"303,33","297,11"
16/09/2022,"301,15","294,19"
15/09/2022,"295,37","289,66"
14/09/2022,"284,25","275,45"
13/09/2022,"279,46","269,90"
12/09/2022,"279,90","269,39"
09/09/2022,"280,88","269,56"
08/09/2022,"282,89","273,02"
07/09/2022,"280,82","271,03"
06/09/2022,"283,39","270,34"
05/09/2022,"282,91","271,19"
02/09/2022,"288,74","278,73"
01/09/2022,"288,74","278,73"
31/08/2022,"292,83","283,08"
30/08/2022,"298,03","283,83"
29/08/2022,"290,00","281,78"
28/08/2022,"292,53","282,57"
27/08/2022,"292,53","282,57"
26/08/2022,"292,53","282,57"
25/08/2022,"295,96","286,60"
24/08/2022,"293,48","286,60"
23/08/2022,"299,00","288,15"
22/08/2022,"300,35","287,88"
21/08/2022,"300,35","292,03"
20/08/2022,"300,35","292,03"
19/08/2022,"300,35","292,03"
18/08/2022,"293,97","288,13"
17/08/2022,"284,13","281,37"
16/08/2022,"278,06","275,78"
15/08/2022,"285,53","279,12"
14/08/2022,"285,53","279,12"
13/08/2022,"285,53","279,12"
12/08/2022,"285,53","279,12"
11/08/2022,"286,28","279,36"
10/08/2022,"289,78","284,59"
09/08/2022,"287,66","279,20"
08/08/2022,"283,76","278,94"
07/08/2022,"284,58","278,78"
06/08/2022,"284,58","278,78"
05/08/2022,"284,58","278,78"
04/08/2022,"289,60","284,47"
03/08/2022,"287,55","281,02"
02/08/2022,"285,12","276,66"
01/08/2022,"279,64","272,48"
31/07/2022,"288,28","276,71"
30/07/2022,"288,28","276,71"
29/07/2022,"288,28","276,71"
28/07/2022,"321,90","298,16"
27/07/2022,"339,40","323,77"
26/07/2022,"328,14","324,88"
25/07/2022,"325,99","319,72"
24/07/2022,"326,47","315,50"
23/07/2022,"326,47","315,50"
22/07/2022,"326,47","315,50"
21/07/2022,"329,82","326,09"
20/07/2022,"308,75","303,44"
19/07/2022,"303,80","297,84"
18/07/2022,"303,92","295,24"
15/07/2022,"301,49","292,50"
14/07/2022,"294,93","284,28"
13/07/2022,"290,15","280,06"
12/07/2022,"291,88","279,40"
11/07/2022,"297,49","285,69"
08/07/2022,"300,89","289,29"
07/07/2022,"296,29","284,32"
06/07/2022,"278,17","270,17"
05/07/2022,"274,16","265,28"
04/07/2022,"281,18","272,39"
